TICKET ID ; IV ; OV ; FV ; AV 
SYNCOPE-504;18;18;18;[]
SYNCOPE-506;18;18;18;[]
SYNCOPE-509;18;18;18;[]
SYNCOPE-510;18;18;18;[]
SYNCOPE-512;18;18;18;[]
SYNCOPE-514;18;18;18;[]
SYNCOPE-515;18;18;18;[]
SYNCOPE-527;0;18;19;[null]
SYNCOPE-531;19;19;19;[]
SYNCOPE-532;19;19;19;[]
SYNCOPE-539;19;19;19;[]
SYNCOPE-540;19;19;19;[]
SYNCOPE-543;18;19;20;[18, 19]
SYNCOPE-545;19;19;19;[]
SYNCOPE-546;0;19;19;[null]
SYNCOPE-547;20;20;20;[]
SYNCOPE-548;20;20;20;[]
SYNCOPE-549;20;20;20;[]
SYNCOPE-551;20;20;20;[]
SYNCOPE-553;20;20;20;[]
SYNCOPE-554;19;20;21;[19, 20]
SYNCOPE-556;20;20;20;[]
SYNCOPE-557;21;21;21;[]
SYNCOPE-560;21;21;21;[]
SYNCOPE-561;21;21;21;[]
SYNCOPE-562;21;21;21;[]
SYNCOPE-564;21;21;21;[]
SYNCOPE-565;21;21;21;[]
SYNCOPE-566;21;21;21;[]
SYNCOPE-567;21;21;21;[]
SYNCOPE-568;21;21;21;[]
SYNCOPE-569;21;21;21;[]
SYNCOPE-571;21;21;21;[]
SYNCOPE-572;21;21;21;[]
SYNCOPE-574;21;21;21;[]
SYNCOPE-576;21;21;21;[]
SYNCOPE-578;21;21;21;[]
SYNCOPE-596;21;21;21;[]
SYNCOPE-597;21;21;21;[]
SYNCOPE-598;21;21;21;[]
SYNCOPE-600;21;21;21;[]
SYNCOPE-601;21;21;21;[]
SYNCOPE-603;21;21;21;[]
SYNCOPE-605;21;21;21;[]
SYNCOPE-607;22;22;22;[]
SYNCOPE-608;22;22;22;[]
SYNCOPE-611;22;22;22;[]
SYNCOPE-613;22;22;22;[]
SYNCOPE-614;22;22;22;[]
SYNCOPE-615;22;22;22;[]
SYNCOPE-617;22;22;22;[]
SYNCOPE-625;0;22;22;[null]
SYNCOPE-629;22;22;22;[]
SYNCOPE-632;22;22;22;[]
SYNCOPE-638;23;23;23;[]
SYNCOPE-639;23;23;23;[]
SYNCOPE-641;23;23;23;[]
SYNCOPE-643;23;23;23;[]
SYNCOPE-644;23;23;23;[]
SYNCOPE-647;23;23;23;[]
SYNCOPE-654;24;24;24;[]
SYNCOPE-655;24;24;24;[]
SYNCOPE-656;24;24;24;[]
SYNCOPE-658;24;24;24;[]
SYNCOPE-659;24;24;24;[]
SYNCOPE-664;24;24;24;[]
SYNCOPE-668;25;25;25;[]
SYNCOPE-669;25;25;25;[]
SYNCOPE-670;25;25;25;[]
SYNCOPE-671;25;25;25;[]
SYNCOPE-672;25;25;25;[]
SYNCOPE-673;25;25;25;[]
SYNCOPE-677;25;25;25;[]
SYNCOPE-678;25;25;25;[]
SYNCOPE-682;25;25;25;[]
SYNCOPE-683;25;25;25;[]
SYNCOPE-684;25;25;25;[]
SYNCOPE-686;26;26;26;[]
SYNCOPE-688;26;26;26;[]
SYNCOPE-689;26;26;26;[]
SYNCOPE-691;26;26;26;[]
SYNCOPE-702;0;26;26;[null]
SYNCOPE-703;26;26;26;[]
SYNCOPE-706;26;26;26;[]
SYNCOPE-707;26;26;26;[]
SYNCOPE-710;26;26;26;[]
SYNCOPE-712;26;26;26;[]
SYNCOPE-716;26;26;26;[]
SYNCOPE-717;26;26;26;[]
SYNCOPE-726;27;27;27;[]
SYNCOPE-729;27;27;27;[]
SYNCOPE-730;27;27;29;[27, 28]
SYNCOPE-733;27;27;27;[]
SYNCOPE-734;0;27;27;[null]
SYNCOPE-735;26;27;29;[26, 27, 28]
SYNCOPE-737;27;27;30;[27, 28, 29]
SYNCOPE-739;27;27;27;[]
SYNCOPE-741;27;27;27;[]
SYNCOPE-756;27;28;29;[27, 28]
SYNCOPE-758;29;29;29;[]
SYNCOPE-759;29;29;29;[]
SYNCOPE-762;29;29;29;[]
SYNCOPE-768;29;29;29;[]
SYNCOPE-769;29;29;29;[]
SYNCOPE-774;29;29;29;[]
SYNCOPE-775;29;29;29;[]
SYNCOPE-776;29;29;29;[]
SYNCOPE-780;29;29;30;[29]
SYNCOPE-781;29;29;30;[29]
SYNCOPE-782;29;29;29;[]
SYNCOPE-783;30;30;30;[]
SYNCOPE-792;30;30;30;[]
SYNCOPE-793;30;30;30;[]
SYNCOPE-798;30;30;30;[]
SYNCOPE-799;30;30;30;[]
SYNCOPE-800;30;30;30;[]
SYNCOPE-801;30;30;30;[]
SYNCOPE-811;30;30;30;[]
SYNCOPE-812;30;30;30;[]
SYNCOPE-813;30;30;30;[]
SYNCOPE-814;30;30;30;[]
SYNCOPE-817;30;30;30;[]
SYNCOPE-823;30;30;30;[]
SYNCOPE-825;30;30;30;[]
SYNCOPE-836;30;30;30;[]
SYNCOPE-837;30;30;30;[]
SYNCOPE-839;30;30;30;[]
SYNCOPE-840;30;30;30;[]
SYNCOPE-844;0;30;30;[null]
SYNCOPE-845;0;30;31;[null]
SYNCOPE-846;0;30;30;[null]
SYNCOPE-847;0;30;30;[null]
SYNCOPE-849;30;30;30;[]
SYNCOPE-850;30;30;30;[]
SYNCOPE-863;29;30;31;[29, 30]
SYNCOPE-865;30;30;31;[30]
SYNCOPE-867;31;31;31;[]
SYNCOPE-868;31;31;31;[]
SYNCOPE-869;31;31;31;[]
SYNCOPE-872;0;31;32;[null]
SYNCOPE-875;31;31;31;[]
SYNCOPE-876;31;31;31;[]
SYNCOPE-878;32;32;32;[]
SYNCOPE-879;32;32;32;[]
SYNCOPE-881;32;32;32;[]
SYNCOPE-883;32;32;32;[]
SYNCOPE-884;32;32;32;[]
SYNCOPE-886;32;32;32;[]
SYNCOPE-887;32;32;32;[]
SYNCOPE-888;32;32;32;[]
SYNCOPE-891;32;32;32;[]
SYNCOPE-892;32;32;32;[]
SYNCOPE-893;32;32;32;[]
SYNCOPE-898;32;32;32;[]
SYNCOPE-899;0;32;32;[null]
SYNCOPE-900;0;32;32;[null]
SYNCOPE-901;32;32;32;[]
SYNCOPE-905;32;32;32;[]
SYNCOPE-907;32;32;32;[]
SYNCOPE-908;32;32;32;[]
SYNCOPE-911;32;32;32;[]
SYNCOPE-912;32;32;32;[]
SYNCOPE-915;32;32;32;[]
SYNCOPE-916;32;32;32;[]
SYNCOPE-918;32;32;32;[]
SYNCOPE-921;32;32;32;[]
SYNCOPE-923;32;32;32;[]
SYNCOPE-927;32;32;32;[]
SYNCOPE-928;32;32;32;[]
