Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,RANDOM FOREST,UNDERSAMPLING,NO,NO,181,6,186,91,0.9679144385026738,0.6654411764705882,0.9181219362745098,0.5954264346325326,
BOOKKEEPER,3,RANDOM FOREST,UNDERSAMPLING,NO,NO,387,14,183,34,0.9650872817955112,0.9192399049881235,0.9877437090803863,0.8258684856240535,
BOOKKEEPER,4,RANDOM FOREST,UNDERSAMPLING,NO,NO,363,4,117,106,0.989100817438692,0.7739872068230277,0.8884914271617121,0.5644119897445535,
BOOKKEEPER,5,RANDOM FOREST,UNDERSAMPLING,NO,NO,293,39,158,128,0.8825301204819277,0.6959619952494062,0.8445567117209448,0.4445616489962866,
BOOKKEEPER,6,RANDOM FOREST,UNDERSAMPLING,NO,NO,390,0,0,266,1.0,0.5945121951219512,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,UNDERSAMPLING,NO,NO,2,4,150,146,0.3333333333333333,0.013513513513513514,0.8136188136188136,-0.01269784494321728,
BOOKKEEPER,2,NAIVE BAYES,UNDERSAMPLING,NO,NO,91,12,180,181,0.883495145631068,0.33455882352941174,0.8036247702205882,0.24087888240878882,
BOOKKEEPER,3,NAIVE BAYES,UNDERSAMPLING,NO,NO,7,4,193,414,0.6363636363636364,0.0166270783847981,0.9194509085209255,-0.0023669649301163165,
BOOKKEEPER,4,NAIVE BAYES,UNDERSAMPLING,NO,NO,374,39,82,95,0.9055690072639225,0.7974413646055437,0.8541383989145184,0.4055013309671695,
BOOKKEEPER,5,NAIVE BAYES,UNDERSAMPLING,NO,NO,386,102,95,35,0.7909836065573771,0.9168646080760094,0.8154382241942679,0.4387999946972811,
BOOKKEEPER,6,NAIVE BAYES,UNDERSAMPLING,NO,NO,486,0,0,170,1.0,0.7408536585365854,NaN,0.0,
